Date,Price,Pop
2020-07-28 17:58:53.228555,74.4,237809
2020-07-28 17:59:08.647099,74.48,237809
2020-07-28 17:59:24.064973,74.48,237809
2020-07-28 17:59:39.482188,74.43,237809
2020-07-28 17:59:54.892439,74.4,237809
2020-07-28 18:00:10.330196,74.46,237809
2020-07-28 18:00:25.757205,74.5,237809
2020-07-28 18:00:41.174300,74.48,237809
2020-07-28 18:00:56.591892,74.5,237809
2020-07-28 18:01:12.078101,74.44,237809
2020-07-28 18:01:27.520343,74.44,237809
2020-07-28 18:01:42.940668,74.44,237809
2020-07-28 18:01:58.364828,74.44,237809
2020-07-28 18:02:13.770599,74.44,237809
2020-07-28 18:02:29.221541,74.44,237809
2020-07-28 18:02:44.648154,74.44,237809
2020-07-28 18:03:00.075122,74.35,237809
2020-07-28 18:03:15.489152,74.35,237809
2020-07-28 18:03:30.915871,74.34,237809
2020-07-28 18:03:46.349365,74.34,237809
2020-07-28 18:04:01.793804,74.34,237809
2020-07-28 18:04:17.224675,74.33,237809
2020-07-28 18:04:32.639305,74.49,237809
2020-07-28 18:04:48.054695,74.49,237809
2020-07-28 18:05:03.499137,74.49,237913
2020-07-28 18:05:18.925245,74.49,237913
2020-07-28 18:05:34.333490,74.49,237913
2020-07-28 18:05:49.769633,74.49,237913
2020-07-28 18:06:05.209931,74.49,237913
2020-07-28 18:06:20.633466,74.49,237913
2020-07-28 18:06:36.055991,74.38,237913
2020-07-28 18:06:51.500981,74.34,237913
2020-07-28 18:07:06.945997,74.38,237913
2020-07-28 18:07:22.366455,74.34,237913
2020-07-28 18:07:37.798173,74.34,237913
2020-07-28 18:07:53.207410,74.33,237913
2020-07-28 18:08:08.647657,74.32,237913
2020-07-28 18:08:24.127523,74.34,237913
2020-07-28 18:08:39.571776,74.34,237913
2020-07-28 18:08:54.999775,74.34,237913
2020-07-28 18:09:10.413872,74.34,237913
2020-07-28 18:09:25.833079,74.34,237913
2020-07-28 18:09:41.278060,74.34,237913
2020-07-28 18:09:56.751617,74.34,237913
2020-07-28 18:10:12.206506,74.34,237913
2020-07-28 18:10:27.661211,74.32,237913
2020-07-28 18:10:43.079030,74.32,237913
2020-07-28 18:10:58.533040,74.32,237913
2020-07-28 18:11:13.992837,74.32,237913
2020-07-28 18:11:29.818346,74.34,237913
2020-07-28 18:11:45.234887,74.36,237913
2020-07-28 18:12:00.679176,74.36,237913
2020-07-28 18:12:16.122378,74.4,237913
2020-07-28 18:12:31.589081,74.4,237913
